Chidamber-Kemerer metrics,Mon, 5 Aug 2024 13:39:49 NZST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.commons.text.AlphabetConverter,2,1,1,0,50,44
org.apache.commons.text.AlphabetConverterTest,2,1,10,0,55,25
org.apache.commons.text.Builder,n/a,n/a,n/a,n/a,1,n/a
org.apache.commons.text.CaseUtils,2,1,1,0,15,9
org.apache.commons.text.CaseUtilsTest,2,1,2,0,19,2
org.apache.commons.text.CharacterPredicate,n/a,n/a,n/a,n/a,1,n/a
org.apache.commons.text.CharacterPredicates,3,n/a,2,n/a,2,7
org.apache.commons.text.CharacterPredicatesTest,1,1,7,0,17,7
org.apache.commons.text.CompositeFormat,1,2,3,0,10,6
org.apache.commons.text.CompositeFormatTest,1,1,2,0,16,6
org.apache.commons.text.ExtendedMessageFormat,6,3,5,1,70,70
org.apache.commons.text.ExtendedMessageFormatTest,7,1,11,0,76,35
org.apache.commons.text.ExtendedMessageFormatTest.LowerCaseFormat,2,2,2,0,5,2
org.apache.commons.text.ExtendedMessageFormatTest.OtherExtendedMessageFormat,3,4,0,0,2,1
org.apache.commons.text.ExtendedMessageFormatTest.OverrideShortDateFormatFactory,2,1,0,0,3,2
org.apache.commons.text.ExtendedMessageFormatTest.UpperCaseFormat,2,2,2,0,5,2
org.apache.commons.text.FormatFactory,n/a,n/a,n/a,n/a,1,n/a
org.apache.commons.text.FormattableUtils,1,1,1,0,16,11
org.apache.commons.text.FormattableUtilsTest,2,1,4,0,25,10
org.apache.commons.text.FormattableUtilsTest.SimplestFormattable,1,1,1,0,3,2
org.apache.commons.text.RandomStringGenerator,4,1,2,0,21,17
org.apache.commons.text.RandomStringGenerator.Builder,6,1,1,0,16,14
org.apache.commons.text.RandomStringGeneratorTest,4,1,18,0,62,48
org.apache.commons.text.StrBuilder,11,1,7,11,200,370
org.apache.commons.text.StrBuilder.StrBuilderReader,2,2,3,0,15,16
org.apache.commons.text.StrBuilder.StrBuilderTokenizer,2,2,2,0,7,5
org.apache.commons.text.StrBuilder.StrBuilderWriter,1,2,7,0,13,8
org.apache.commons.text.StrBuilderAppendInsertTest,1,1,29,0,142,74
org.apache.commons.text.StrBuilderTest,5,1,85,0,270,105
org.apache.commons.text.StrBuilderTest.MockReadable,1,1,1,0,4,2
org.apache.commons.text.StrLookup,7,1,4,3,8,5
org.apache.commons.text.StrLookup.MapStrLookup,1,2,1,0,7,4
org.apache.commons.text.StrLookup.ResourceBundleLookup,1,2,1,0,6,4
org.apache.commons.text.StrLookup.SystemPropertiesStrLookup,1,2,1,0,4,3
org.apache.commons.text.StrLookupTest,2,1,8,0,27,8
org.apache.commons.text.StrMatcher,13,1,10,6,26,20
org.apache.commons.text.StrMatcher.CharMatcher,1,2,1,0,2,3
org.apache.commons.text.StrMatcher.CharSetMatcher,2,2,1,0,5,3
org.apache.commons.text.StrMatcher.NoMatcher,1,2,1,0,2,2
org.apache.commons.text.StrMatcher.StringMatcher,2,2,1,0,6,6
org.apache.commons.text.StrMatcher.TrimMatcher,1,2,1,0,2,3
org.apache.commons.text.StrMatcherTest,4,1,2,0,42,17
org.apache.commons.text.StrSubstitutor,7,1,1,1,107,101
org.apache.commons.text.StrSubstitutorTest,7,1,26,0,141,64
org.apache.commons.text.StrTokenizer,6,1,4,4,93,102
org.apache.commons.text.StrTokenizerTest,3,1,48,0,138,78
org.apache.commons.text.StringEscapeUtils,17,1,18,0,29,19
org.apache.commons.text.StringEscapeUtils.Builder,3,1,1,0,8,4
org.apache.commons.text.StringEscapeUtils.XsiUnescaper,2,2,1,0,10,6
org.apache.commons.text.StringEscapeUtilsTest,4,1,30,0,87,51
org.apache.commons.text.StringSubstitutor,15,1,1,1,124,106
org.apache.commons.text.StringSubstitutor.Result,1,1,0,0,2,2
org.apache.commons.text.StringSubstitutorTest,8,1,9,1,181,96
org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest,4,1,8,0,50,27
org.apache.commons.text.StringTokenizer,7,1,4,4,93,102
org.apache.commons.text.StringTokenizerTest,4,1,33,0,142,78
org.apache.commons.text.TextRandomProvider,n/a,n/a,n/a,n/a,1,n/a
org.apache.commons.text.TextStringBuilder,13,1,9,0,229,386
org.apache.commons.text.TextStringBuilder.TextStringBuilderReader,2,2,3,0,15,16
org.apache.commons.text.TextStringBuilder.TextStringBuilderTokenizer,2,2,2,0,8,5
org.apache.commons.text.TextStringBuilder.TextStringBuilderWriter,1,2,7,0,13,8
org.apache.commons.text.TextStringBuilderAppendInsertTest,1,1,29,0,148,52
org.apache.commons.text.TextStringBuilderTest,6,1,88,0,319,132
org.apache.commons.text.TextStringBuilderTest.MockReadable,1,1,1,0,4,2
org.apache.commons.text.WordUtils,2,1,6,0,59,73
